Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
463,Farmageddon,,6/17/11,Kristin Marie Productions,Not Rated,Documentary,"$53,256 ",6716,"$52,989 "
464,For Colored Girls,,11/5/10,Lionsgate,R,Drama,"$52,924 ",6674,"$52,658 "
465,"!Women, Art, Revolution",,6/1/11,Zeitgeist,Not Rated,Documentary,"$52,681 ",6643,"$52,413 "
466,My Reincarnation,,10/28/11,Long Shot Factory,Not Rated,Documentary,"$51,742 ",6525,"$51,482 "
467,Jing mo fung wan: Chen Zhen,,4/22/11,Variance Films,R,Action/Adventure,"$50,433 ",6360,"$50,180 "
468,Orgasm Inc.,,2/11/11,First Run Features,Not Rated,Documentary,"$49,001 ",6179,"$48,752 "
469,The Perfect Host,,7/1/11,Magnolia Pictures,R,Thriller/Suspense,"$48,764 ",6149,"$48,516 "
470,Marwencol,,10/8/10,,Not Rated,Documentary,"$48,744 ",6147,"$48,500 "
471,Putty Hill,,2/18/11,Cinema Guild,Not Rated,Drama,"$48,644 ",6134,"$48,397 "
472,"Lebanon, PA",,4/29/11,Truly Indie,PG-13,Drama,"$48,381 ",6101,"$48,137 "
473,Dao Jian Xiao,,3/18/11,China Lion Film Distribution,PG-13,Comedy,"$47,897 ",6040,"$47,656 "
474,What If...,,8/20/10,Five & Two Pictures,PG,Other,"$47,362 ",5973,"$47,127 "
475,Pianomania,,5/27/11,First Run Features,Not Rated,Documentary,"$47,328 ",5968,"$47,088 "
476,Margaret,,9/30/11,Fox Searchlight,R,Drama,"$47,185 ",5950,"$46,946 "
477,Alabama Moon,,4/1/11,Faulkner-McLean Entertainment,PG,Action/Adventure,"$47,009 ",5928,"$46,772 "
478,"Connected: An Autobiography about Love, Death & Technology",,9/16/11,Paladin,Not Rated,Documentary,"$46,782 ",5899,"$46,543 "
479,The Woodmans,,1/19/11,Lorber Films,Not Rated,Documentary,"$46,623 ",5879,"$46,385 "
480,The Tempest,,12/10/10,Miramax,PG-13,Drama,"$46,310 ",5840,"$46,078 "
481,Every Day,,1/14/11,Image Entertainment,R,Drama,"$46,029 ",5804,"$45,794 "
482,Tees Maar Khan,,12/22/10,UTV Communications,Not Rated,Comedy,"$45,764 ",5771,"$45,533 "
483,Rapt,,7/6/11,Lorber Films,Not Rated,Drama,"$45,759 ",5770,"$45,525 "
484,Texas Killing Fields,,10/14/11,Anchor Bay Entertainment,R,Thriller/Suspense,"$45,470 ",5734,"$45,241 "
485,Sykt lykkelig,,9/16/11,Magnolia Pictures,R,Drama,"$45,154 ",5694,"$44,926 "
486,Contracorriente,,9/17/10,The Film Collaborative,Not Rated,Drama,"$44,462 ",5607,"$44,239 "
487,Desert Flower,,3/18/11,National Geographic Entertainment,R,Drama,"$44,348 ",5592,"$44,121 "
488,Crazy Wisdom,,11/25/11,Alive Mind,Not Rated,Documentary,"$43,742 ",5516,"$43,521 "
489,Love Etc.,,7/1/11,,Not Rated,Documentary,"$43,593 ",5497,"$43,371 "
490,Over Your Cities Grass Will Grow,,8/10/11,Alive Mind,Not Rated,Documentary,"$43,214 ",5449,"$42,993 "
491,Public Speaking,,2/23/11,Rialto Pictures,Not Rated,Documentary,"$43,184 ",5446,"$42,969 "
492,People v. The State of Illusion,,9/9/11,Samuel Goldwyn Films,Not Rated,Documentary,"$42,202 ",5322,"$41,991 "
493,Down for Life,,1/14/11,BD Fox Independent,Not Rated,Drama,"$41,914 ",5285,"$41,699 "
494,La conquête,,11/11/11,Music Box Films,Not Rated,Drama,"$41,130 ",5187,"$40,925 "
495,Myth of the American Sleepover,,7/22/11,IFC Films,Not Rated,Drama,"$41,045 ",5176,"$40,839 "
496,Choejongbyungki Hwal,,10/14/11,CJ Entertainment,R,Action/Adventure,"$40,685 ",5131,"$40,484 "
497,The Last Circus,,8/19/11,Magnolia Pictures,R,Comedy,"$40,548 ",5113,"$40,342 "
498,CornerStore,,8/12/11,Shotown Pictures,Not Rated,Comedy,"$40,508 ",5108,"$40,302 "
499,Louder Than A Bomb,,5/18/11,Balcony Releasing,Not Rated,Documentary,"$40,362 ",5090,"$40,160 "
500,Road to Nowhere,,6/10/11,Monterey Media,R,Thriller/Suspense,"$40,294 ",5081,"$40,089 "
501,Baiyin diguo,,6/3/11,China Lion Film Distribution,Not Rated,Drama,"$40,052 ",5051,"$39,852 "
502,3 Backyards,,3/11/11,Screen Media Films,R,Drama,"$39,475 ",4978,"$39,276 "
503,We need to Talk About Kevin,,12/9/11,Oscilloscope Pictures,Not Rated,Drama,"$39,297 ",4955,"$39,095 "
504,O Estranho Caso de Angélica,,12/31/10,Cinema Guild,Not Rated,Drama,"$38,996 ",4918,"$38,803 "
505,When Harry Tries to Marry,,4/22/11,108 Pics,PG-13,Comedy,"$38,261 ",4825,"$38,069 "
506,Les Neiges du Kilimanjaro,,12/9/11,Mongrel Media,Not Rated,Drama,"$38,246 ",4823,"$38,053 "
507,Where Soldiers Come From,,9/9/11,International Film Circuit,Not Rated,Documentary,"$38,151 ",4811,"$37,959 "
508,11/11/11,,11/11/11,Rocket Releasing,R,Horror,"$38,100 ",4805,"$37,911 "
509,Le rayon vert,,6/9/11,The Film Desk,Not Rated,Other,"$37,804 ",4767,"$37,612 "
510,En ganske snill mann,,1/14/11,Strand,Not Rated,Comedy,"$37,743 ",4760,"$37,556 "
511,Sleeping Beauty,,12/2/11,IFC Films,Not Rated,Drama,"$37,710 ",4755,"$37,517 "
512,Fireflies in the Garden,,10/14/11,,Not Rated,Drama,"$36,884 ",4651,"$36,696 "
513,Granito: How to Nail a Dictator,,9/14/11,Skylight Pictures,Not Rated,Documentary,"$36,738 ",4633,"$36,554 "
514,Dogtooth,,6/25/10,Kino International,Not Rated,Drama,"$36,399 ",4590,"$36,215 "
515,Da Wu Sheng,,9/9/11,China Lion Film Distribution,Not Rated,Drama,"$35,986 ",4538,"$35,805 "
516,Hell and Back Again,,10/5/11,Docurama,Not Rated,Documentary,"$34,637 ",4368,"$34,464 "
517,Hereafter,,10/15/10,Warner Bros.,PG-13,Thriller/Suspense,"$34,355 ",4332,"$34,179 "
518,Love in Space,,9/9/11,China Lion Film Distribution,PG,Comedy,"$33,976 ",4284,"$33,801 "
519,Making the Boys,,3/11/11,First Run Features,Not Rated,Documentary,"$33,833 ",4266,"$33,659 "
520,Tamara Drewe,,10/8/10,Sony Pictures Classics,R,Comedy,"$33,752 ",4256,"$33,580 "
521,Stake Land,,4/22/11,IFC Films,R,Horror,"$33,245 ",4192,"$33,075 "
522,American Teacher,,9/30/11,First Run Features,Not Rated,Documentary,"$33,144 ",4180,"$32,980 "
523,Meet Monica Velour,,4/8/11,Anchor Bay Entertainment,Not Rated,Comedy,"$33,042 ",4167,"$32,878 "
524,Film Socialisme,,6/3/11,Lorber Films,Not Rated,Drama,"$32,977 ",4159,"$32,815 "
525,The Time That Remains,,1/7/11,IFC Films,Not Rated,Drama,"$32,869 ",4145,"$32,704 "
526,Octubre,,5/6/11,New Yorker,Not Rated,Comedy,"$32,127 ",4051,"$31,962 "
527,"HEY, BOO: Harper Lee and To Kill a Mockingbird",,5/13/11,First Run Features,Not Rated,Documentary,"$31,135 ",3926,"$30,976 "
528,Small Town Murder Songs,,5/27/11,Monterey Media,R,Thriller/Suspense,"$31,133 ",3926,"$30,976 "
529,White Irish Drinkers,,3/25/11,IFC Films,R,Drama,"$31,056 ",3916,"$30,897 "
530,The Son of No One,,11/4/11,Anchor Bay Entertainment,R,Drama,"$30,680 ",3869,"$30,526 "
531,Autoreiji,,12/2/11,Magnolia Pictures,R,Drama,"$30,440 ",3839,"$30,290 "
532,Muran,,9/30/11,UTV Communications,Not Rated,Other,"$30,116 ",3798,"$29,966 "
533,Cat Run,,4/1/11,Paladin,Not Rated,Comedy,"$30,100 ",3796,"$29,950 "
534,Cracks,,3/18/11,IFC Films,R,Drama,"$29,683 ",3743,"$29,532 "
535,Redemption Road,,8/26/11,Freestyle Releasing,Not Rated,Drama,"$29,384 ",3705,"$29,232 "
536,Topp Twins Untouchable Girls,,5/13/11,Argot Pictures,Not Rated,Documentary,"$29,200 ",3682,"$29,051 "
537,Chasing Madoff,,8/26/11,Cohen Media Group,Not Rated,Documentary,"$28,850 ",3638,"$28,704 "
538,La belle endormie,,7/8/11,Strand,Not Rated,Drama,"$28,791 ",3631,"$28,649 "
539,Salvation Boulevard,,7/15/11,IFC Films,R,Comedy,"$28,004 ",3531,"$27,860 "
540,"Marti, dupa craciun",,5/25/11,Lorber Films,Not Rated,Drama,"$27,813 ",3507,"$27,670 "
541,Khodorkovsky,,11/30/11,Kino Lorber,Not Rated,Documentary,"$27,718 ",3495,"$27,576 "
542,Animal Kingdom,,8/13/10,Sony Pictures Classics,R,Drama,"$27,622 ",3483,"$27,481 "
543,Autobiografia lui Nicolae Ceausescu,,9/9/11,The Film Desk,Not Rated,Documentary,"$27,556 ",3475,"$27,418 "
544,Bay Rong,,3/11/11,Variance Films,R,Action/Adventure,"$27,052 ",3411,"$26,913 "
545,Enemies of the People,,7/30/10,International Film Circuit,Not Rated,Documentary,"$26,708 ",3368,"$26,574 "
546,Caesar & Otto's Summer Camp Massacre,,9/16/11,Nocturnal Features,Not Rated,Comedy,"$25,844 ",3259,"$25,714 "
547,Howl,,9/24/10,Oscilloscope Pictures,R,Drama,"$25,522 ",3218,"$25,390 "
548,Waiting for Forever,,2/4/11,Freestyle Releasing,PG-13,Comedy,"$25,517 ",3218,"$25,390 "
549,The Other Woman,,2/4/11,IFC Films,R,Comedy,"$25,423 ",3206,"$25,295 "
550,Cost of a Soul,,5/20/11,Relativity,R,Drama,"$25,365 ",3199,"$25,240 "
551,Bonnie & Clyde vs. Dracula,,3/11/11,Indican Pictures,Not Rated,Action/Adventure,"$25,027 ",3156,"$24,901 "
552,Paul Goodman Changed My Life,,10/19/11,Zeitgeist,Not Rated,Documentary,"$25,020 ",3155,"$24,893 "
553,Harvest,,5/6/11,Monterey Media,R,Drama,"$24,657 ",3109,"$24,530 "
554,Immigration Tango,,2/18/11,Roadside Attractions,R,Comedy,"$24,554 ",3096,"$24,427 "
555,After,,9/9/11,,R,Drama,"$24,545 ",3095,"$24,420 "
556,Vincent will Meer,,6/24/11,Corinth Films,Not Rated,Drama,"$24,377 ",3074,"$24,254 "
557,Shut Up Little Man! An Audio Misadventure,,8/26/11,TriBeca Films,Not Rated,Documentary,"$23,901 ",3014,"$23,780 "
558,Jane's Journey,,9/16/11,First Run Features,Not Rated,Documentary,"$23,746 ",2994,"$23,623 "
559,Nine Nation Animation,,9/29/10,The World According to Shorts,Not Rated,Other,"$22,731 ",2866,"$22,613 "
560,Vanishing on Seventh Street,,2/18/11,Magnet Pictures,R,Thriller/Suspense,"$22,729 ",2866,"$22,613 "
561,Black Death,,3/11/11,Magnet Pictures,R,Horror,"$22,554 ",2844,"$22,439 "
562,Ceremony,,4/8/11,Magnolia Pictures,R,Comedy,"$22,270 ",2808,"$22,155 "
563,Bheja Fry 2,,6/17/11,,Not Rated,Comedy,"$22,266 ",2808,"$22,155 "
564,Garbo: El espía,,11/18/11,First Run Features,Not Rated,Documentary,"$22,233 ",2804,"$22,124 "
565,All's Faire in Love,,10/28/11,Hannover House,PG,Comedy,"$22,180 ",2797,"$22,068 "
566,Answers to Nothing,,12/2/11,Roadside Attractions,R,Drama,"$22,049 ",2780,"$21,934 "
567,Incendiary: The Willingham Case,,9/23/11,Truly Indie,Not Rated,Documentary,"$21,882 ",2759,"$21,769 "
568,The Arbor,,4/29/11,Strand,Not Rated,Documentary,"$21,610 ",2725,"$21,500 "
569,Monogamy,,3/11/11,Oscilloscope Pictures,Not Rated,Drama,"$21,527 ",2715,"$21,421 "
570,Night Catches Us,,12/3/10,Magnolia Pictures,R,Drama,"$21,271 ",2682,"$21,161 "
571,Rare Exports: A Christmas Tale,,12/3/10,Oscilloscope Pictures,R,Comedy,"$20,917 ",2638,"$20,814 "
572,Cameraman: The Life and Work of Jack Cardiff,,5/13/11,Strand,Not Rated,Documentary,"$20,840 ",2628,"$20,735 "
573,Griff the Invisible,,8/19/11,Indomina Releasing,PG-13,Comedy,"$20,778 ",2620,"$20,672 "
574,Bereavement,,3/4/11,,R,Horror,"$20,744 ",2616,"$20,640 "
575,Resurrect Dead: The Mystery of the Toynbee Tiles,,9/2/11,Argot Pictures,Not Rated,Documentary,"$20,726 ",2614,"$20,624 "
576,Genesis Code,,2/18/11,,PG,Drama,"$20,300 ",2560,"$20,198 "
577,Brotherhood,,2/18/11,Phase 4 Films,R,Thriller/Suspense,"$19,722 ",2487,"$19,622 "
578,Die Fremde,,1/28/11,Olive Films,Not Rated,Drama,"$19,631 ",2476,"$19,536 "
579,Skateland,,5/13/11,Freestyle Releasing,PG-13,Drama,"$19,412 ",2448,"$19,315 "
580,L'apollonide - souvenirs de la maison close,,11/25/11,IFC Films,Not Rated,Drama,"$19,327 ",2437,"$19,228 "
581,The Next Three Days,,11/19/10,Lionsgate,PG-13,Thriller/Suspense,"$19,303 ",2434,"$19,204 "
582,Client 9: The Rise and Fall of Eliot Spitzer,,11/5/10,Magnolia Pictures,R,Documentary,"$18,587 ",2344,"$18,494 "
583,You Will Meet a Tall Dark Stranger,,9/22/10,Sony Pictures Classics,R,Drama,"$18,230 ",2299,"$18,139 "
584,L'instinct de mort,,8/27/10,Music Box Films,R,Drama,"$18,218 ",2297,"$18,123 "
585,Battle for Brooklyn,,6/17/11,Rooftop Films,Not Rated,Documentary,"$17,981 ",2267,"$17,887 "
586,5 Days of War,,8/19/11,Anchor Bay Entertainment,R,Drama,"$17,479 ",2204,"$17,390 "
587,Littlerock,,8/12/11,Variance Films,Not Rated,Drama,"$17,309 ",2183,"$17,224 "
588,InSight,,9/2/11,Check Entertainment Distribution,R,Thriller/Suspense,"$17,107 ",2157,"$17,019 "
589,Feed the Fish,,4/23/10,Strand,Not Rated,Comedy,"$17,085 ",2154,"$16,995 "
590,Mia et le Migou,,3/25/11,GKIDS,PG,Action/Adventure,"$16,975 ",2141,"$16,892 "
591,Trespass,,10/14/11,Millenium Films,R,Thriller/Suspense,"$16,816 ",2121,"$16,735 "
592,The Little Traitor,,10/16/09,Westchester Films,Not Rated,Drama,"$16,284 ",2053,"$16,198 "
593,The Last Ride,,10/21/11,,PG-13,Drama,"$16,270 ",2052,"$16,190 "
594,Tyrannosaur,,11/18/11,Strand,Not Rated,Drama,"$15,735 ",1984,"$15,654 "
595,Dumbstruck,,4/15/11,Truly Indie,PG,Documentary,"$15,378 ",1939,"$15,299 "
596,The Tenant,,4/15/11,Indican Pictures,Not Rated,Thriller/Suspense,"$15,003 ",1892,"$14,928 "
597,Ong Bak 3,,1/14/11,Magnet Pictures,R,Action/Adventure,"$14,890 ",1878,"$14,817 "
598,Strange Powers: Stephin Merritt and the Magnetic Fields,,10/29/10,Variance Films,Not Rated,Documentary,"$14,567 ",1837,"$14,494 "
599,Armadillo,,4/15/11,Lorber Films,Not Rated,Documentary,"$14,566 ",1837,"$14,494 "
600,The Chaperone,,2/18/11,Samuel Goldwyn Films,PG-13,Comedy,"$14,400 ",1816,"$14,328 "
601,Peep World,,3/25/11,IFC Films,R,Comedy,"$14,351 ",1810,"$14,281 "
602,Guy and Madeline on a Park Bench,,11/5/10,Variance Films,Not Rated,Other,"$14,284 ",1801,"$14,210 "
603,Sahib Biwi Aur Gangster,,9/30/11,UTV Communications,Not Rated,Other,"$14,231 ",1795,"$14,163 "
604,OKA!,,10/14/11,Dada Films,Not Rated,Action/Adventure,"$14,083 ",1776,"$14,013 "
605,Sympathy for Delicious,,4/29/11,Maya Releasing,R,Comedy,"$13,826 ",1744,"$13,760 "
606,William S. Burroughs: A Man Within,,11/19/10,Oscilloscope Pictures,Not Rated,Documentary,"$13,772 ",1737,"$13,705 "
607,Benda Bilili!,,9/30/11,National Geographic Entertainment,PG-13,Documentary,"$13,420 ",1692,"$13,350 "
608,Beautiful Darling,,4/22/11,Corinth Films,Not Rated,Documentary,"$13,400 ",1690,"$13,334 "
609,Charlotte Rampling: The Look,,11/4/11,Kino Lorber,Not Rated,Documentary,"$13,171 ",1661,"$13,105 "
610,L'ennemi public n°1,,9/3/10,Music Box Films,R,Drama,"$13,134 ",1656,"$13,066 "
611,Under the Boardwalk: The MONOPOLY Story,,3/4/11,Self Distributed,G,Documentary,"$13,080 ",1649,"$13,011 "
612,The Town,,9/17/10,Warner Bros.,R,Drama,"$13,027 ",1643,"$12,963 "
613,Bloodworth,,5/20/11,Samuel Goldwyn Films,R,Drama,"$12,971 ",1636,"$12,908 "
614,I'm Not Jesus Mommy,,5/6/11,FilmDemic,R,Thriller/Suspense,"$12,620 ",1591,"$12,553 "
615,Año Bisiesto,,6/24/11,Strand,Not Rated,Drama,"$12,561 ",1584,"$12,498 "
616,Nenette,,12/22/10,Kino International,Not Rated,Documentary,"$12,559 ",1584,"$12,498 "
617,America the Beautiful II: The Thin Commandments,,10/12/11,,Not Rated,Documentary,"$12,366 ",1559,"$12,301 "
618,Rebirth,,8/31/11,Oscilloscope Pictures,Not Rated,Documentary,"$12,358 ",1558,"$12,293 "
619,Back Door Channels: The Price of Peace,,9/16/11,Fisher Klingenstein Films,Not Rated,Documentary,"$12,139 ",1531,"$12,080 "
620,"Eu cand vreau sa fluier, fluier",,1/5/11,Film Movement,Not Rated,Drama,"$12,135 ",1530,"$12,072 "
621,Elektra Luxx,,3/11/11,Samuel Goldwyn Films,R,Comedy,"$11,514 ",1452,"$11,456 "
622,Partir,,10/1/10,IFC Films,Not Rated,Drama,"$10,977 ",1384,"$10,920 "
623,Sarah Palin: You Betcha!,,9/30/11,Freestyle Releasing,Not Rated,Documentary,"$10,935 ",1379,"$10,880 "
624,Matrimonio all'italiana,,9/23/11,Kino Classics,Not Rated,Comedy,"$10,600 ",1337,"$10,549 "
625,The Cremaster Cycle,,4/9/10,International Film Circuit,Not Rated,Drama,"$10,573 ",1333,"$10,517 "
626,London Boulevard,,11/11/11,IFC Films,R,Drama,"$10,484 ",1322,"$10,431 "
627,Zero Bridge,,2/16/11,The Film Desk,Not Rated,Drama,"$10,357 ",1306,"$10,304 "
628,A Bird of the Air,,9/23/11,Paladin,PG-13,Comedy,"$10,152 ",1280,"$10,099 "
629,Carlos,,10/15/10,IFC Films,Not Rated,Drama,"$10,000 ",1261,"$9,949 "
630,Un homme qui crie,,4/13/11,Film Movement,Not Rated,Drama,"$9,862 ",1244,"$9,815 "
631,Cook County,,12/16/11,Hannover House,Not Rated,Drama,"$9,727 ",1227,"$9,681 "
632,Die Frau mit den 5 Elefanten,,7/20/11,Cinema Guild,Not Rated,Documentary,"$9,256 ",1167,"$9,208 "
633,Vito Bonafacci,,5/6/11,CAVU Releasing,Not Rated,Drama,"$9,217 ",1162,"$9,168 "
634,The Ledge,,7/8/11,IFC Films,R,Drama,"$9,216 ",1162,"$9,168 "
635,Another Happy Day,,11/18/11,Phase 4 Films,R,Drama,"$9,120 ",1150,"$9,074 "
636,Shanghai Red,,1/1/10,Indican Pictures,Not Rated,Thriller/Suspense,"$8,904 ",1123,"$8,860 "
637,Sans queue ni tete,,8/26/11,First Run Features,Not Rated,Drama,"$8,856 ",1117,"$8,813 "
638,Kak ya provyol etim letom,,2/4/11,Film Movement,Not Rated,Drama,"$8,733 ",1101,"$8,687 "
639,Je suis heureux que ma mere soit vivante,,9/2/11,Strand,Not Rated,Drama,"$8,705 ",1098,"$8,663 "
640,Korkoro,,3/25/11,Lorber Films,Not Rated,Drama,"$8,242 ",1039,"$8,198 "
641,Wrecked,,4/1/11,IFC Films,R,Thriller/Suspense,"$8,020 ",1011,"$7,977 "
642,The Heir Apparent: Largo Winch,,11/18/11,Music Box Films,Not Rated,Action/Adventure,"$8,019 ",1011,"$7,977 "
643,Rid of Me,,11/18/11,Phase 4 Films,Not Rated,Comedy,"$8,015 ",1011,"$7,977 "
644,Certifiably Jonathan,,2/11/11,,Not Rated,Comedy,"$7,826 ",987,"$7,787 "
645,The Ward,,7/8/11,Cinedigm,R,Horror,"$7,760 ",979,"$7,724 "
646,Inception,,7/16/10,Warner Bros.,PG-13,Thriller/Suspense,"$7,344 ",926,"$7,306 "
647,Good Neighbors,,7/29/11,Magnolia Pictures,R,Thriller/Suspense,"$7,072 ",892,"$7,038 "
648,Boxing Gym,,10/22/10,Zipporah,Not Rated,Documentary,"$6,898 ",870,"$6,864 "
649,Ma part du gateau,,12/9/11,IFC Films,Not Rated,Drama,"$6,850 ",864,"$6,817 "
650,Janie Jones,,10/28/11,TriBeca Films,Not Rated,Comedy,"$6,840 ",863,"$6,809 "
651,The Trouble with Terkel,,10/15/10,Indican Pictures,Not Rated,Action/Adventure,"$6,584 ",830,"$6,549 "
652,Addiction Incorporated,,12/14/11,Variance Films,PG-13,Documentary,"$6,442 ",812,"$6,407 "
653,That's What I Am,,4/29/11,Samuel Goldwyn Films,PG,Drama,"$6,400 ",807,"$6,367 "
654,I Melt with You,,12/9/11,Magnolia Pictures,R,Drama,"$6,361 ",802,"$6,328 "
655,Chillar Party,,7/8/11,UTV Communications,Not Rated,Comedy,"$6,330 ",798,"$6,296 "
656,Florent: Queen of the Meat Market,,5/20/11,Self Distributed,Not Rated,Documentary,"$6,282 ",792,"$6,249 "
657,The Family Tree,,8/26/11,Entertainment One,R,Comedy,"$6,035 ",761,"$6,004 "
658,Saint Misbehavin': The Wavy Gravy Movie,,12/3/10,Argot Pictures,Not Rated,Documentary,"$6,007 ",757,"$5,973 "
659,Miss Minoes,,12/23/11,Music Box Films,PG,Action/Adventure,"$5,947 ",750,"$5,918 "
660,Alamar,,7/14/10,Film Movement,Not Rated,Drama,"$5,905 ",745,"$5,878 "
661,The Imperialists Are Still Alive!,,4/15/11,IFC Films,Not Rated,Drama,"$5,874 ",741,"$5,846 "
662,Rabia,,1/28/11,Strand,Not Rated,Thriller/Suspense,"$5,594 ",705,"$5,562 "
663,Elevate,,10/21/11,Variance Films,PG,Documentary,"$5,580 ",704,"$5,555 "
664,Aurora,,6/29/11,Cinema Guild,Not Rated,Drama,"$5,558 ",701,"$5,531 "
665,Schastye moe,,9/30/11,Kino Lorber,Not Rated,Drama,"$5,457 ",688,"$5,428 "
666,Sons of Perdition,,2/18/11,,R,Documentary,"$5,401 ",681,"$5,373 "
667,Genius Within: The Inner Life of Glenn Gould,,9/10/10,Lorber Films,Not Rated,Documentary,"$5,386 ",679,"$5,357 "
668,The Worst Movie EVER!,,8/19/11,Hiltz Squared,Not Rated,Comedy,"$5,303 ",669,"$5,278 "
669,Tanner Hall,,9/9/11,Anchor Bay Entertainment,R,Drama,"$5,073 ",640,"$5,050 "
670,Flypaper,,8/19/11,IFC Films,Not Rated,Comedy,"$5,043 ",636,"$5,018 "
671,Cosa Voglio Di Piu,,12/3/10,Film Movement,Not Rated,Drama,"$5,037 ",635,"$5,010 "
672,Grease,,6/16/78,Paramount Pictures,PG,Other,"$4,907 ",619,"$4,884 "
673,Burke & Hare,,9/9/11,IFC Films,R,Comedy,"$4,833 ",609,"$4,805 "
674,"Scheherazade, Tell Me a Story",,2/25/11,ArtMattan Productions,Not Rated,Drama,"$4,726 ",596,"$4,702 "
675,Shoah,,12/10/10,IFC Films,Not Rated,Documentary,"$4,533 ",572,"$4,513 "
676,The Catechism Cataclysm,,10/19/11,IFC Midnight,Not Rated,Comedy,"$4,373 ",551,"$4,347 "
677,Fancypants,,9/30/11,Humble Pie Films,PG-13,Comedy,"$4,227 ",533,"$4,205 "
678,Daylight,,7/15/11,Cinema Purgatorio,Not Rated,Thriller/Suspense,"$4,171 ",526,"$4,150 "
679,Kyatapira,,5/6/11,Lorber Films,Not Rated,Drama,"$4,157 ",524,"$4,134 "
680,To Die Like a Man,,4/8/11,Strand,Not Rated,Other,"$4,029 ",508,"$4,008 "
681,Building Hope,,6/3/11,The Nobility Project,Not Rated,Documentary,"$4,000 ",504,"$3,977 "
682,Ranchero,,7/15/11,Indican Pictures,Not Rated,Drama,"$3,826 ",482,"$3,803 "
683,Zenith,,10/1/10,Cinema Purgatorio,Not Rated,Thriller/Suspense,"$3,801 ",479,"$3,779 "
684,The Harvest/La Cosecha,,7/29/11,Cinema Libre,Not Rated,Documentary,"$3,709 ",468,"$3,693 "
685,Passion Play,,5/6/11,Image Entertainment,R,Drama,"$3,669 ",463,"$3,653 "
686,Raymond Did It,,2/11/11,Plastic Age Productions,Not Rated,Horror,"$3,632 ",458,"$3,614 "
687,Loosies,,12/14/11,IFC Films,PG-13,Comedy,"$3,519 ",444,"$3,503 "
688,The Sons of Tennessee Williams,,10/7/11,First Run Features,Not Rated,Documentary,"$3,242 ",409,"$3,227 "
689,The Swell Season,,10/7/11,Mongrel Media,Not Rated,Documentary,"$3,178 ",401,"$3,164 "
690,Plastic Planet,,1/14/11,First Run Features,Not Rated,Documentary,"$3,164 ",399,"$3,148 "
691,Balls to the Wall,,10/21/11,Midwest Movies,R,Comedy,"$3,140 ",396,"$3,124 "
692,The Weird World of Blowfly,,9/16/11,Variance Films,Not Rated,Documentary,"$3,062 ",386,"$3,046 "
693,Corman's World: Exploits of a Hollywood Rebel,,12/16/11,Anchor Bay Entertainment,R,Documentary,"$3,050 ",385,"$3,038 "
694,Protektor,,8/5/11,Film Movement,Not Rated,Documentary,"$2,968 ",374,"$2,951 "
695,Prince of the Himalayas,,12/23/11,Kino Lorber,Not Rated,Drama,"$2,883 ",364,"$2,872 "
696,Red Hill,,11/5/10,Sony Pictures,R,Thriller/Suspense,"$2,863 ",361,"$2,848 "
697,Zokkomon,,4/22/11,Walt Disney Pictures,PG,Action/Adventure,"$2,815 ",355,"$2,801 "
698,Blood Ties,,2/11/11,Afterlight Pictures,Not Rated,Action/Adventure,"$2,761 ",348,"$2,746 "
699,Raw Faith,,5/28/10,Alive Mind,Not Rated,Documentary,"$2,711 ",342,"$2,698 "
700,Forks Over Knives,,5/6/11,Monica Beach Media,PG,Documentary,"$2,700 ",340,"$2,683 "
701,Restitution,,10/21/11,Monterey Media,R,Thriller/Suspense,"$2,664 ",336,"$2,651 "
702,Jitsuroku rengo sekigun: Asama sanso e no michi,,5/27/11,Lorber Films,Not Rated,Drama,"$2,659 ",335,"$2,643 "
703,Det rode kapel,,12/29/10,Lorber Films,Not Rated,Documentary,"$2,657 ",335,"$2,643 "
704,Brutal Beauty: Tales of the Rose City Rollers,,1/8/10,Cinema Purgatorio,Not Rated,Documentary,"$2,647 ",334,"$2,635 "
705,Knuckle,,12/9/11,ARC Entertainment,R,Documentary,"$2,647 ",334,"$2,635 "
706,Main Street,,9/9/11,Magnolia Pictures,PG,Drama,"$2,560 ",323,"$2,548 "
707,Flickan som lekte med elden,,12/25/09,Music Box Films,R,Thriller/Suspense,"$2,547 ",321,"$2,533 "
708,About Fifty,,11/11/11,,R,Other,"$2,500 ",315,"$2,485 "
709,Medianeras,,10/26/11,IFC Films,Not Rated,Drama,"$2,377 ",300,"$2,367 "
710,Fading of the Cries,,7/8/11,Eammon Films,R,Other,"$2,300 ",290,"$2,288 "
711,The Taqwacores,,10/22/10,Strand,Not Rated,Drama,"$2,098 ",265,"$2,091 "
712,Män som hatar kvinnor,,3/19/10,Music Box Films,R,Thriller/Suspense,"$2,075 ",262,"$2,067 "
713,To Die is Hard,,12/17/10,Driving With Our Eyes Shut,Not Rated,Comedy,"$1,938 ",244,"$1,925 "
714,American Grindhouse,,6/18/10,Lorber Films,Not Rated,Documentary,"$1,931 ",244,"$1,925 "
715,"Love, Wedding, Marriage",,6/3/11,IFC Films,PG-13,Comedy,"$1,926 ",243,"$1,917 "
716,36 vues du Pic Saint Loup,,7/9/10,Cinema Guild,Not Rated,Comedy,"$1,839 ",232,"$1,830 "
