Rank,Title,Production Budget (for the top 21),Release Date,Distributor,Rating,Genre,2011 Gross,Tickets Sold,Inflation Adjusted Gross,Runlength
78,Tron: Legacy,,12/17/10,Walt Disney Pictures,PG,Action/Adventure,"$40,757,919 ",5139712,"$40,552,328 ",127 min
79,The Descendants,,11/16/11,Fox Searchlight,R,Drama,"$40,315,665 ",5083943,"$40,112,310 ",115 min
80,Hanna,,4/8/11,Focus Features,PG-13,Drama,"$40,259,119 ",5076812,"$40,056,047 ",111 min
81,Something Borrowed,,5/6/11,Warner Bros.,PG-13,Comedy,"$39,046,489 ",4923895,"$38,849,532 ",103 min
82,Spy Kids:  All the Time in the World,,8/19/11,Weinstein/Dimension,PG,Action/Adventure,"$38,536,376 ",4859568,"$38,341,992 ",88 min
83,Scream 4,,4/15/11,Weinstein/Dimension,R,Horror,"$38,180,928 ",4814745,"$37,988,338 ",103 min
84,"Big Mommas: Like Father, Like Son",,2/18/11,20th Century Fox,PG-13,Comedy,"$37,915,414 ",4781263,"$37,724,165 ",107 min
85,Red Riding Hood,,3/11/11,Warner Bros.,PG-13,Thriller/Suspense,"$37,662,162 ",4749327,"$37,472,190 ",100 min
86,Paul,,3/18/11,Universal,R,Comedy,"$37,412,945 ",4717900,"$37,224,231 ",100 min
87,The Roommate,,2/4/11,Sony Pictures,PG-13,Thriller/Suspense,"$37,300,107 ",4703670,"$37,111,956 ",93 min
88,Jumping the Broom,,5/6/11,Sony Pictures,PG-13,Comedy,"$37,295,394 ",4703076,"$37,107,270 ",113 min
89,The Change-Up,,8/5/11,Universal,R,Comedy,"$37,243,418 ",4696522,"$37,055,559 ",101 min
90,In Time,,10/28/11,20th Century Fox,PG-13,Thriller/Suspense,"$37,076,415 ",4675462,"$36,889,395 ",109 min
91,30 Minutes or Less,,8/12/11,Sony Pictures,R,Comedy,"$37,053,924 ",4672626,"$36,867,019 ",83 min
92,Colombiana,,8/26/11,Sony Pictures,PG-13,Thriller/Suspense,"$36,665,854 ",4623689,"$36,480,906 ",107 min
93,J. Edgar,,11/9/11,Warner Bros.,R,Drama,"$36,650,831 ",4621795,"$36,465,963 ",137 min
94,Sucker Punch,,3/25/11,Warner Bros.,R,Action/Adventure,"$36,392,502 ",4589218,"$36,208,930 ",120 min
95,Larry Crowne,,7/1/11,Universal,PG-13,Comedy,"$35,608,245 ",4490321,"$35,428,633 ",99 min
96,50/50,,9/30/11,Summit Entertainment,Not Rated,Comedy,"$35,014,192 ",4415409,"$34,837,577 ",99 min
97,A Very Harold & Kumar 3D Christmas,,11/4/11,Warner Bros.,R,Comedy,"$34,928,545 ",4404608,"$34,752,357 ",89 min
98,Drive,,9/16/11,FilmDistrict,R,Action/Adventure,"$34,840,191 ",4393467,"$34,664,455 ",103 min
99,Yogi Bear 3D,,12/17/10,Warner Bros.,PG,Action/Adventure,"$34,490,675 ",4349392,"$34,316,703 ",80 min
100,Courageous,,9/30/11,Sony Pictures,PG-13,Drama,"$34,088,360 ",4298658,"$33,916,412 ",130 min
101,The Rite,,1/28/11,Warner Bros.,PG-13,Horror,"$33,047,633 ",4167419,"$32,880,936 ",112 min
102,Arthur,,4/8/11,Warner Bros.,PG-13,Comedy,"$33,035,397 ",4165876,"$32,868,762 ",110 min
103,Tangled,,11/24/10,Walt Disney Pictures,PG,Action/Adventure,"$32,999,950 ",4161406,"$32,833,493 ",100 min
104,The Debt,,8/31/11,Focus Features,R,Thriller/Suspense,"$31,177,548 ",3931595,"$31,020,285 ",113 min
105,Priest in 3D,,5/13/11,Sony Pictures,PG-13,Horror,"$29,136,626 ",3674228,"$28,989,659 ",87 min
106,The Mechanic,,1/28/11,CBS Films,R,Action/Adventure,"$29,121,498 ",3672320,"$28,974,605 ",100 min
107,Abduction,,9/23/11,Lionsgate,PG-13,Thriller/Suspense,"$28,087,155 ",3541886,"$27,945,481 ",106 min
108,Beastly,,3/4/11,CBS Films,PG-13,Drama,"$27,865,571 ",3513943,"$27,725,010 ",95 min
109,The Sitter,,12/9/11,20th Century Fox,R,Comedy,"$26,816,340 ",3381632,"$26,681,076 ",100 min
110,Winnie the Pooh,,7/15/11,Walt Disney Pictures,G,Action/Adventure,"$26,692,846 ",3366059,"$26,558,206 ",63 min
111,Killer Elite,,9/23/11,Open Road,R,Action/Adventure,"$25,124,986 ",3168346,"$24,998,250 ",100 min
112,Season of the Witch,,1/7/11,Relativity,PG-13,Thriller/Suspense,"$24,827,228 ",3130798,"$24,701,996 ",98 min
113,Our Idiot Brother,,8/26/11,Weinstein Co.,R,Comedy,"$24,814,830 ",3129235,"$24,689,664 ",90 min
114,Don't Be Afraid of the Dark,,8/26/11,FilmDistrict,R,Horror,"$24,046,682 ",3032368,"$23,925,384 ",100 min
115,Sanctum,,2/4/11,Universal,R,Action/Adventure,"$23,209,310 ",2926773,"$23,092,239 ",103 min
116,Monte Carlo,,7/1/11,20th Century Fox,PG,Comedy,"$23,186,769 ",2923931,"$23,069,816 ",109 min
117,Your Highness,,4/8/11,Universal,R,Comedy,"$21,596,445 ",2723385,"$21,487,508 ",102 min
118,Mars Needs Moms,,3/11/11,Walt Disney Pictures,PG,Action/Adventure,"$21,392,758 ",2697700,"$21,284,853 ",88 min
119,Dream House,,9/30/11,Universal,PG-13,Horror,"$21,302,340 ",2686298,"$21,194,891 ",92 min
120,Conan the Barbarian 3D,,8/19/11,Lionsgate,R,Action/Adventure,"$21,295,021 ",2685375,"$21,187,609 ",112 min
121,The Three Musketeers 3D,,10/21/11,Summit Entertainment,PG-13,Action/Adventure,"$20,374,484 ",2569292,"$20,271,714 ",110 min
122,Country Strong,,12/22/10,Sony Pictures,PG-13,Drama,"$20,099,179 ",2534575,"$19,997,797 ",112 min
123,The Eagle,,2/11/11,Focus Features,PG-13,Action/Adventure,"$19,490,041 ",2457761,"$19,391,734 ",114 min
124,Shark Night 3D,,9/2/11,Relativity,PG-13,Horror,"$18,877,153 ",2380473,"$18,781,932 ",95 min
125,Fright Night,,8/19/11,Walt Disney Pictures,R,Horror,"$18,298,649 ",2307522,"$18,206,349 ",120 min
126,Apollo 18,,9/2/11,Weinstein Co.,PG-13,Thriller/Suspense,"$17,686,929 ",2230382,"$17,597,714 ",86 min
127,The Chronicles of Narnia: The Voyage of the Dawn Treader,,12/10/10,20th Century Fox,PG,Action/Adventure,"$17,460,553 ",2201835,"$17,372,478 ",113 min
128,The Thing,,10/14/11,Universal,R,Horror,"$16,999,934 ",2143750,"$16,914,188 ",102 min
129,African Cats,,4/22/11,Walt Disney Pictures,G,Documentary,"$15,428,747 ",1945618,"$15,350,926 ",89 min
130,Gulliver's Travels,,12/22/10,20th Century Fox,PG,Comedy,"$15,324,755 ",1932504,"$15,247,457 ",95 min
131,Born to be Wild 3D,,4/8/11,Warner Bros.,G,Documentary,"$15,183,665 ",1914712,"$15,107,078 ",40 min
